date	sales
2010-02-05	39954.04
2010-02-12	35351.21
2010-02-19	36826.95
2010-02-26	34660.16
2010-03-05	38086.19
2010-03-12	32668.67
2010-03-19	34118.11
2010-03-26	33872.07
2010-04-02	37809.49
2010-04-09	36174.43
2010-04-16	34740.19
2010-04-23	33806.71
2010-04-30	33437.8
2010-05-07	37168.34
2010-05-14	33657.7
2010-05-21	35571.47
2010-05-28	36380.36
2010-06-04	40548.19
2010-06-11	36579.96
2010-06-18	35059.52
2010-06-25	34454.69
2010-07-02	39773.71
2010-07-09	39781.45
2010-07-16	35234.66
2010-07-23	36624.71
2010-07-30	36419.68
2010-08-06	40973.88
2010-08-13	36461.66
2010-08-20	39706.1
2010-08-27	36404.6
2010-09-03	38321.88
2010-09-10	36603.78
2010-09-17	33999.01
2010-09-24	32497.43
2010-10-01	34912.45
2010-10-08	35772.82
2010-10-15	34693.27
2010-10-22	32902.26
2010-10-29	35202.44
2010-11-05	37980.55
2010-11-12	35008.03
2010-11-19	37078.61
2010-11-26	46201.27
2010-12-03	37110.55
2010-12-10	36364.31
2010-12-17	39154.41
2010-12-24	47893.23
2010-12-31	36913.8
2011-01-07	37947.8
2011-01-14	34393.95
2011-01-21	33735.58
2011-01-28	32905.88
2011-02-04	35870.49
2011-02-11	37373.33
2011-02-18	36479.25
2011-02-25	33677.18
2011-03-04	37943.96
2011-03-11	35229.12
2011-03-18	34863.03
2011-03-25	34813.12
2011-04-01	34451.9
2011-04-08	36514.43
2011-04-15	33466.89
2011-04-22	35132.7
2011-04-29	34528.56
2011-05-06	37827.69
2011-05-13	33471.81
2011-05-20	34137.41
2011-05-27	36790.72
2011-06-03	42508.02
2011-06-10	35376.06
2011-06-17	35523.17
2011-06-24	35062.02
2011-07-01	36451.71
2011-07-08	39149.99
2011-07-15	33930.8
2011-07-22	34630.02
2011-07-29	35555.5
2011-08-05	39339.09
2011-08-12	37449.94
2011-08-19	39148.87
2011-08-26	37495.2
2011-09-02	36589.07
2011-09-09	35105.96
2011-09-16	34108.12
2011-09-23	32655.07
2011-09-30	32830.81
2011-10-07	37397.63
2011-10-14	35000.3
2011-10-21	33954.55
2011-10-28	34247.26
2011-11-04	39354.84
2011-11-11	36826.52
2011-11-18	37656.58
2011-11-25	46564.14
2011-12-02	38489.63
2011-12-09	38729.31
2011-12-16	38266.47
2011-12-23	47785.93
2011-12-30	37371.22
2012-01-06	40925.76
2012-01-13	36582.36
2012-01-20	33780.2
2012-01-27	33613.91
2012-02-03	40274.83
2012-02-10	39305.13
2012-02-17	36550.46
2012-02-24	34953.85
2012-03-02	38459.98
2012-03-09	38934.77
2012-03-16	38125.32
2012-03-23	36586.52
2012-03-30	37718.51
2012-04-06	42060.21
2012-04-13	37449.26
2012-04-20	36350.03
2012-04-27	36894.54
2012-05-04	41897.55
2012-05-11	35840.06
2012-05-18	34536.29
2012-05-25	38270.34
2012-06-01	41566.55
2012-06-08	41124.27
2012-06-15	39019.74
2012-06-22	37400.31
2012-06-29	39758.77
2012-07-06	44936.96
2012-07-13	38073.91
2012-07-20	38080.05
2012-07-27	35197.59
2012-08-03	41305.39
2012-08-10	40343.83
2012-08-17	38105.9
2012-08-24	36674.67
2012-08-31	37802.97
2012-09-07	39549.27
2012-09-14	35044.06
2012-09-21	34507.34
2012-09-28	34647.33
2012-10-05	39311.93
2012-10-12	35446.18
2012-10-19	35549.19
2012-10-26	36292.6
