date	sales
2010-02-05	32229.38
2010-02-12	29620.81
2010-02-19	26468.27
2010-02-26	24101.89
2010-03-05	23082.14
2010-03-12	21498.92
2010-03-19	22632.57
2010-03-26	38971.89
2010-04-02	29967.92
2010-04-09	18516.45
2010-04-16	11570.27
2010-04-23	24763.98
2010-04-30	22006.41
2010-05-07	19260.44
2010-05-14	16891.66
2010-05-21	16157.17
2010-05-28	15784.6
2010-06-04	22932.26
2010-06-11	21817.36
2010-06-18	19778.44
2010-06-25	19054.58
2010-07-02	18887.71
2010-07-09	20249.54
2010-07-16	17918.22
2010-07-23	17313.46
2010-07-30	16472.48
2010-08-06	16926.17
2010-08-13	15544.62
2010-08-20	15412.44
2010-08-27	13570.32
2010-09-03	15390.52
2010-09-10	17776.56
2010-09-17	15862.61
2010-09-24	17039.38
2010-10-01	23381.38
2010-10-08	19853.57
2010-10-15	20443.05
2010-10-22	19525.85
2010-10-29	16377.46
2010-11-05	23903.81
2010-11-12	23698.89
2010-11-19	24716.49
2010-11-26	70158.86
2010-12-03	36472.02
2010-12-10	49517.17
2010-12-17	59589.48
2010-12-24	85676.09
2010-12-31	32280.82
2011-01-07	22699.69
2011-01-14	17445.37
2011-01-21	18438.07
2011-01-28	22118.7
2011-02-04	31280.62
2011-02-11	36667.65
2011-02-18	31092.62
2011-02-25	23870.31
2011-03-04	28902.37
2011-03-11	23704.37
2011-03-18	22685.69
2011-03-25	18719.22
2011-04-01	23598.55
2011-04-08	22393.09
2011-04-15	22719.82
2011-04-22	21786.16
2011-04-29	17503.28
2011-05-06	16195.54
2011-05-13	15587.78
2011-05-20	15575.25
2011-05-27	16613.98
2011-06-03	16848.76
2011-06-10	18648.73
2011-06-17	17861.56
2011-06-24	21695.24
2011-07-01	19239.86
2011-07-08	17989.45
2011-07-15	18444.8
2011-07-22	19331.53
2011-07-29	17406.68
2011-08-05	21183.42
2011-08-12	21320.93
2011-08-19	18643.51
2011-08-26	15478.26
2011-09-02	20432.91
2011-09-09	19075.78
2011-09-16	19386.23
2011-09-23	20562.37
2011-09-30	16385.37
2011-10-07	30352.06
2011-10-14	22917.89
2011-10-21	32700.34
2011-10-28	26391.79
2011-11-04	31956.07
2011-11-11	31002.65
2011-11-18	27339.37
2011-11-25	79340.15
2011-12-02	32572.27
2011-12-09	41782.13
2011-12-16	43479.7
2011-12-23	61483.82
2011-12-30	34981.76
2012-01-06	23105.81
2012-01-13	19281.61
2012-01-20	19298.42
2012-01-27	21376.42
2012-02-03	28307.43
2012-02-10	38096.04
2012-02-17	46219.96
2012-02-24	30797.88
2012-03-02	30642.53
2012-03-09	25492.21
2012-03-16	29345.72
2012-03-23	25442.13
2012-03-30	22392.09
2012-04-06	28386.81
2012-04-13	18458.33
2012-04-20	16645.01
2012-04-27	17170.39
2012-05-04	18953.07
2012-05-11	17277.63
2012-05-18	17955.73
2012-05-25	18625.67
2012-06-01	17233.25
2012-06-08	24752.99
2012-06-15	21376.63
2012-06-22	24337.24
2012-06-29	20233.9
2012-07-06	19684.48
2012-07-13	18089.61
2012-07-20	17896.46
2012-07-27	14105.4
2012-08-03	17615.28
2012-08-10	18232.46
2012-08-17	15440.65
2012-08-24	22446.23
2012-08-31	18615.76
2012-09-07	18236.15
2012-09-14	19369.52
2012-09-21	25798.78
2012-09-28	22560.39
2012-10-05	25508.81
2012-10-12	20920.03
2012-10-19	20413.83
2012-10-26	25846.94
